Date,Open,High,Low,Close,Volume,SMA(20),EMA(20),"TSI(2,20)",EMA(12),EMA(26),"MACD(12,26)",MACD Signal(9),PSAR(0.02),ADL(20),ADR(20),ATR(20),ADX(20),Aroon(20) up,Aroon(20) down,Aroon(20) Oscillator,Tenkan(9),Kijun(26),Senkou(26)_A,Senkou(52)_B,Chikou(26),Keltner(20)_mid,Keltner(20)_upper,Keltner(20)_lower,RSI(14),BB_MAVG(20),BB_UP(20),BB_DOWN(20),CCI(20),CMO(14),DEMARK(14),Donchian(20) mid,Donchian(20) up,Donchian(20) down,Pivot,Support,Resistance,stochastic_oscillator Low(14),stochastic_oscillator High(14),stochastic_oscillator %K(14),stochastic_oscillator %D(3),Williams(14),PSY(12),NPSY(12)
2013-04-18,1552.03,1554.38,1536.03,1541.61,3890800000,1563.587,1547.6583,5.7736,1563.1091,1557.8972,5.2119,9.2069,1596.2768,17257094787715.535,16.815,16.824,19.3069,75.0,100.0,-25.0,1566.69,1566.69,1525.0075,1477.44,1649.6,1561.0754,1594.7234,1527.4274,42.3778,1563.587,1591.8551,1535.3189,-139.2047,-15.2443,0.3425,1566.69,1597.35,1536.03,1556.7567,1538.9433,1569.8233,1536.03,1597.35,9.0998,30.449,-90.9002,50.0,0.0
2013-04-19,1541.61,1555.89,1539.4,1555.25,3569870000,1564.0595,1548.0198,4.9346,1561.9,1557.7011,4.1989,8.2053,1593.8669,17273547364469.799,16.8815,16.8905,19.1628,70.0,95.0,-25.0,1566.69,1566.69,1525.0075,1477.44,1660.06,1560.5206,1594.3016,1526.7396,48.1551,1564.0595,1591.3756,1536.7434,-95.0757,-3.6899,0.3569,1566.69,1597.35,1536.03,1544.0067,1533.6333,1551.9833,1536.03,1597.35,31.3438,20.6895,-68.6562,58.3333,16.6667
2013-04-22,1555.25,1565.55,1548.19,1562.5,2979880000,1564.34,1548.7094,5.4945,1561.9923,1558.0566,3.9357,7.3514,1591.5535,17289407695162.129,17.1575,17.1615,18.7408,65.0,90.0,-25.0,1566.69,1566.69,1530.985,1480.715,1648.36,1560.7091,1595.0321,1526.3861,47.9246,1564.34,1591.4607,1537.2193,-35.4565,-4.1508,0.391,1566.69,1597.35,1536.03,1550.18,1544.47,1560.96,1536.03,1597.35,43.167,27.8702,-56.833,58.3333,16.6667
2013-04-23,1562.5,1579.58,1562.5,1578.78,3565150000,1565.6945,1550.1413,8.1867,1564.575,1559.5917,4.9833,6.8778,1589.3325,17309817064711.916,17.077,17.081,17.1065,60.0,85.0,-25.0,1566.69,1566.69,1534.3625,1480.865,1654.41,1562.4302,1596.5922,1528.2682,56.7291,1565.6945,1592.8609,1538.5281,67.6882,13.4581,0.4973,1566.69,1597.35,1536.03,1558.7467,1551.9433,1569.3033,1536.03,1597.35,69.7162,48.0757,-30.2838,66.6667,33.3333
2013-04-24,1578.78,1583.0,1575.8,1578.79,3598240000,1566.4455,1551.5055,9.8751,1566.7619,1561.0138,5.7482,6.6519,1587.2004,17326831724816.72,16.824,16.828,15.1899,55.0,80.0,-25.0,1564.665,1566.69,1537.59,1494.905,1630.74,1563.9882,1597.6442,1530.3322,55.2206,1566.4455,1594.2117,1538.6793,95.3921,10.4413,0.5106,1566.69,1597.35,1536.03,1573.62,1567.66,1584.74,1536.03,1597.35,69.7326,60.8719,-30.2674,66.6667,33.3333
2013-04-25,1578.93,1592.64,1578.93,1585.16,3908580000,1567.561,1553.1081,11.8501,1569.5924,1562.8024,6.79,6.6795,1536.03,17341160091528.125,16.901,16.912,14.0423,50.0,75.0,-25.0,1564.335,1566.69,1537.705,1507.63,1640.42,1566.0046,1599.8286,1532.1806,58.8644,1567.561,1596.4874,1538.6346,121.5336,17.7288,0.601,1566.69,1597.35,1536.03,1579.1967,1575.3933,1582.5933,1536.03,1597.35,80.1207,73.1898,-19.8793,66.6667,33.3333
2013-04-26,1585.16,1585.78,1577.56,1582.24,3198620000,1568.2135,1554.4954,12.6236,1571.5382,1564.2422,7.296,6.8028,1537.1622,17353410631081.805,16.852,16.863,12.6808,45.0,70.0,-25.0,1564.335,1566.69,1537.705,1507.63,1631.38,1567.5508,1601.2768,1533.8248,55.5421,1568.2135,1597.874,1538.553,86.4309,11.0841,0.5844,1566.69,1597.35,1536.03,1585.5767,1578.5133,1592.2233,1536.03,1597.35,75.3588,75.0707,-24.6412,58.3333,16.6667
2013-04-29,1582.34,1596.65,1582.34,1593.61,2891200000,1569.7855,1556.358,14.7059,1574.9339,1566.4176,8.5163,7.1455,1538.2718,17368393354041.127,16.9625,16.9785,10.9034,40.0,65.0,-25.0,1566.34,1566.69,1537.705,1507.63,1608.9,1570.0327,1603.9897,1536.0757,56.9918,1569.7855,1601.3678,1538.2032,120.461,13.9837,0.5846,1566.69,1597.35,1536.03,1581.86,1577.94,1586.16,1536.03,1597.35,93.9008,83.1268,-6.0992,58.3333,16.6667
2013-04-30,1593.58,1597.57,1586.5,1597.57,3745070000,1571.1515,1558.3204,16.6059,1578.4163,1568.7252,9.6912,7.6546,1540.6069,17385774951421.68,16.9415,16.9575,9.139,100.0,60.0,40.0,1566.8,1566.8,1537.705,1507.63,1622.56,1572.6553,1606.5703,1538.7403,53.007,1571.1515,1605.0935,1537.2095,116.9004,6.0139,0.5307,1566.8,1597.57,1536.03,1590.8667,1585.0833,1599.3933,1536.03,1597.57,100.0,89.7532,-0.0,66.6667,33.3333
2013-05-01,1597.55,1597.55,1581.28,1582.7,3530320000,1572.602,1559.4814,15.0309,1579.0754,1569.7604,9.315,7.9867,1544.0247,17402845224612.1,16.6715,16.6885,9.4118,95.0,55.0,40.0,1568.485,1566.8,1538.35,1511.03,1643.38,1573.6119,1606.9889,1540.2349,46.9135,1572.602,1605.8749,1539.3291,75.3969,-6.173,0.4684,1566.8,1597.57,1536.03,1593.88,1590.19,1601.26,1536.03,1597.57,75.8369,89.9126,-24.1631,66.6667,33.3333
2013-05-02,1582.77,1598.6,1582.77,1597.59,3366950000,1574.4825,1561.2961,16.0666,1581.9238,1571.8218,10.102,8.4098,1547.2374,17421243951962.262,16.959,16.9795,9.8237,100.0,50.0,50.0,1573.395,1567.315,1538.35,1512.965,1642.81,1575.8955,1609.8545,1541.9365,52.3851,1574.4825,1608.9805,1539.9845,93.4221,4.7702,0.5024,1567.315,1598.6,1536.03,1587.1767,1576.8033,1593.0733,1536.03,1598.6,98.3858,91.4076,-1.6142,66.6667,33.3333
2013-05-03,1597.6,1618.46,1597.6,1614.42,3603910000,1577.5395,1563.8258,18.9419,1586.9232,1574.9772,11.946,9.117,1551.3464,17440635347456.021,16.978,16.999,10.7751,100.0,45.0,55.0,1590.48,1577.245,1538.35,1514.335,1626.13,1579.5645,1613.5625,1545.5665,68.9716,1577.5395,1614.8478,1540.2312,156.3337,37.9433,0.7559,1577.245,1618.46,1536.03,1592.9867,1587.3733,1603.2033,1536.03,1618.46,95.0989,89.7738,-4.9011,75.0,50.0
2013-05-06,1614.4,1619.77,1614.21,1617.5,3062240000,1580.261,1566.3817,21.1368,1591.6273,1578.1271,13.5003,9.9936,1558.0578,17457701400791.51,16.534,16.555,11.4522,100.0,40.0,60.0,1597.785,1577.9,1541.035,1517.02,1612.52,1583.1774,1616.2874,1550.0674,64.8619,1580.261,1620.9159,1539.6061,168.4991,29.7237,0.7592,1577.9,1619.77,1536.03,1610.16,1601.86,1622.72,1536.03,1619.77,97.2892,96.9246,-2.7108,83.3333,66.6667
2013-05-07,1617.55,1626.03,1616.64,1625.96,3309580000,1583.1285,1569.2188,23.596,1596.9093,1581.6702,15.239,11.0427,1565.4632,17477423279854.326,16.355,16.376,12.4737,100.0,35.0,65.0,1601.795,1581.03,1541.18,1517.165,1636.36,1587.252,1620.004,1554.5,78.3703,1583.1285,1628.1761,1538.0809,169.4453,56.7406,0.8464,1581.03,1626.03,1536.03,1617.16,1614.55,1620.11,1536.03,1626.03,99.9222,97.4368,-0.0778,83.3333,66.6667
2013-05-08,1625.95,1632.78,1622.7,1632.69,3554700000,1585.3765,1572.2412,25.9963,1602.414,1585.4495,16.9645,12.2271,1573.9426,17497635377097.219,15.836,15.857,13.357,100.0,30.0,70.0,1605.17,1584.405,1543.97,1520.63,1626.73,1591.5794,1623.2934,1559.8654,85.9545,1585.3765,1635.5828,1535.1702,164.7729,71.909,0.9283,1584.405,1632.78,1536.03,1622.8767,1619.7233,1629.1133,1539.4,1632.78,99.9036,99.0384,-0.0964,83.3333,66.6667
2013-05-09,1632.69,1635.01,1623.09,1626.67,3457400000,1587.0415,1574.833,26.322,1606.1457,1588.5029,17.6428,13.3102,1583.3566,17515489328571.059,15.873,15.894,13.7476,100.0,25.0,75.0,1608.145,1585.52,1543.97,1523.145,1639.04,1594.9214,1626.7094,1563.1334,79.9983,1587.0415,1640.4693,1533.6137,141.1367,59.9966,0.9288,1585.52,1635.01,1536.03,1629.39,1626.0,1636.08,1548.19,1635.01,90.3939,96.7399,-9.6061,75.0,50.0
2013-05-10,1626.69,1633.7,1623.71,1633.7,3086470000,1589.284,1577.6362,27.3808,1610.3848,1591.8508,18.534,14.355,1592.6542,17535364193803.34,15.706,15.7235,14.9784,95.0,20.0,75.0,1608.145,1585.52,1547.025,1524.735,1651.81,1598.6146,1630.0616,1567.1676,79.9613,1589.284,1646.6511,1531.9169,126.6581,59.9226,0.9205,1585.52,1635.01,1536.03,1628.2567,1621.5033,1633.4233,1562.5,1635.01,98.1934,96.1636,-1.8066,75.0,50.0
2013-05-13,1632.1,1636.0,1626.74,1633.77,2910600000,1593.3545,1580.3093,28.0855,1613.9825,1594.9559,19.0266,15.2893,1600.2782,17561387528934.861,14.341,14.358,17.0452,100.0,15.0,85.0,1608.64,1586.015,1547.075,1527.41,1628.93,1601.9627,1630.6787,1573.2467,76.7956,1593.3545,1651.2409,1535.4681,116.2089,53.5913,0.9074,1586.015,1636.0,1536.03,1630.37,1627.04,1637.03,1575.8,1636.0,96.2957,94.961,-3.7043,75.0,50.0
2013-05-14,1633.75,1651.1,1633.75,1650.34,3457790000,1597.143,1583.6441,30.5465,1619.576,1599.0584,20.5175,16.335,1607.4226,17587159015583.438,14.059,14.076,19.6831,100.0,10.0,90.0,1616.935,1593.565,1547.075,1529.335,1588.19,1606.5701,1634.7221,1578.4181,80.0201,1597.143,1659.5911,1534.6949,131.4314,60.0403,0.9205,1593.565,1651.1,1536.03,1632.17,1628.34,1637.6,1577.56,1651.1,98.9665,97.8185,-1.0335,83.3333,66.6667
2013-05-15,1649.13,1661.49,1646.68,1658.78,3657440000,1602.4815,1587.222,33.1083,1625.6074,1603.4823,22.1251,17.493,1616.1581,17617209420305.395,13.2555,13.2725,22.944,100.0,5.0,95.0,1629.545,1598.76,1549.8925,1529.45,1592.43,1611.5424,1638.0874,1584.9974,80.3613,1602.4815,1666.9077,1538.0553,137.8244,60.7225,0.9212,1598.76,1661.49,1536.03,1645.0633,1639.0267,1656.3767,1577.56,1661.49,96.7711,97.3444,-3.2289,83.3333,66.6667
2013-05-16,1658.07,1660.51,1648.6,1650.47,3513130000,1607.9245,1590.2338,32.8749,1629.4324,1606.9628,22.4696,18.4883,1625.2245,17646374409635.74,12.9335,12.9505,26.3429,95.0,5.0,90.0,1637.85,1598.76,1560.71,1537.04,1573.09,1615.2498,1641.1508,1589.3488,76.9407,1607.9245,1669.0043,1546.8447,118.8843,53.8814,0.9365,1600.445,1661.49,1539.4,1655.65,1649.81,1664.62,1581.28,1661.49,86.2611,93.9996,-13.7389,75.0,50.0
2013-05-17,1652.45,1667.47,1652.45,1667.47,3440710000,1613.5355,1593.9117,34.6402,1635.2843,1611.4448,23.8395,19.5585,1632.4776,17675687342277.18,12.86,12.976,29.9745,100.0,5.0,95.0,1642.055,1601.75,1568.0775,1541.18,1588.03,1620.2232,1646.1752,1594.2712,77.9223,1613.5355,1674.8585,1552.2125,129.9595,55.8445,0.9334,1607.83,1667.47,1548.19,1653.1933,1645.8767,1657.7867,1581.28,1667.47,100.0,94.3441,-0.0,83.3333,66.6667
2013-05-20,1665.71,1672.84,1663.52,1666.29,3275080000,1618.725,1597.3583,35.4898,1640.0544,1615.5075,24.547,20.5562,1639.4761,17701739167589.85,12.458,12.574,33.9824,100.0,5.0,95.0,1647.77,1604.435,1568.1925,1541.18,1603.26,1624.6105,1649.7585,1599.4625,76.5369,1618.725,1679.4266,1558.0234,130.975,53.0738,0.937,1617.67,1672.84,1562.5,1662.4633,1657.4567,1672.4767,1581.28,1672.84,92.8462,93.0358,-7.1538,75.0,50.0
